Word,Pknown,FreqZipfUS,Length
arms,0.99,4.77,4
deer,0.99,3.94,4
fare,0.99,3.79,4
ouch,0.99,4.04,4
roam,0.99,3.53,4
smog,0.99,3.04,4
hope,0.99,5.50,4
defy,0.99,3.49,4
lack,0.99,4.24,4
saga,0.99,2.90,4
took,0.99,5.53,4
herd,0.99,3.84,4
spot,0.99,4.78,4
ways,0.99,4.71,4
pair,0.99,4.57,4
hide,0.99,4.84,4
rust,0.99,3.39,4
arch,0.99,3.56,4
task,0.99,4.10,4
coke,0.99,4.26,4
mark,0.99,4.91,4
zero,0.99,4.33,4
halo,0.99,3.21,4
musk,0.99,2.73,4
shed,0.99,4.04,4
gust,0.99,2.68,4
zinc,0.99,2.93,4
cent,0.99,3.97,4
jest,0.99,3.13,4
pulp,0.99,3.26,4
burp,0.99,3.11,4
roof,0.99,4.55,4
lava,0.99,3.53,4
come,0.99,6.49,4
went,0.99,5.61,4
mode,0.99,3.71,4
busy,0.99,5.02,4
jolt,0.99,3.14,4
hung,0.99,4.44,4
lair,0.99,3.38,4
oven,0.99,3.94,4
tusk,0.99,2.43,4
prep,0.99,3.87,4
spin,0.99,4.16,4
star,0.99,4.90,4
wear,0.99,5.03,4
bear,0.99,4.75,4
doze,0.99,2.61,4
fond,0.99,4.09,4
loom,0.99,2.63,4
cuff,0.99,3.75,4
tale,0.99,4.07,4
slum,0.99,3.11,4
worm,0.99,4.00,4
snug,0.989,3.16,4
toil,0.989,3.00,4
trio,0.989,3.11,4
hoot,0.989,3.41,4
john,0.989,5.28,4
lash,0.989,3.22,4
loot,0.989,3.55,4
babe,0.989,4.55,4
brow,0.989,3.26,4
grit,0.989,2.98,4
meow,0.989,3.47,4
balm,0.989,2.78,4
ooze,0.989,2.73,4
chap,0.989,3.80,4
mace,0.989,3.54,4
peep,0.989,3.64,4
acne,0.989,2.96,4
diva,0.989,3.18,4
eyed,0.989,2.88,4
none,0.989,5.04,4
bath,0.989,4.49,4
vein,0.989,3.55,4
curb,0.989,3.61,4
tire,0.989,4.09,4
exam,0.989,4.12,4
fool,0.989,4.95,4
quad,0.989,3.19,4
meek,0.989,3.24,4
sail,0.989,4.13,4
ugly,0.989,4.62,4
ache,0.989,3.39,4
when,0.989,6.30,4
crap,0.989,4.79,4
axis,0.989,3.20,4
pipe,0.989,4.28,4
teal,0.989,2.72,4
spat,0.989,3.19,4
perk,0.989,3.15,4
gave,0.989,5.38,4
hear,0.989,5.74,4
pave,0.989,2.61,4
oops,0.989,4.03,4
salt,0.989,4.29,4
rose,0.989,4.72,4
film,0.989,4.81,4
punk,0.989,4.34,4
goof,0.988,3.34,4
eyes,0.988,5.34,4
plea,0.988,3.83,4
boar,0.988,3.34,4
auto,0.988,3.88,4
lure,0.988,3.63,4
dire,0.988,3.34,4
